"YearStart","LocationAbbr","LocationDesc","Topic","Question","DataValueType","DataValue","StratificationCategory1","Stratification1"
2015,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2015,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","77.9","Race/Ethnicity","Hispanic"
2019,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","71.4","Gender","Female"
2018,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Race/Ethnicity","Hispanic"
2021,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Gender","Male"
2019,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2014,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2018,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Age-adjusted Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2015,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","89.4","Gender","Female"
2015,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","84.6","Overall","Overall"
2017,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","7.4","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","53.8","Overall","Overall"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","83.4","Race/Ethnicity","White, non-Hispanic"
2021,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","65.8","Gender","Male"
2014,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","32.2","Overall","Overall"
2017,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Age-adjusted Prevalence","74.2","Gender","Female"
2021,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","65.1","Gender","Female"
2016,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","59.3","Gender","Male"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","55.6","Gender","Female"
2014,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","64.4","Gender","Female"
2021,"WA","Washington","Diabetes","Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2017,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","60.9","Gender","Male"
2018,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","84.7","Overall","Overall"
2015,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","48.8","Gender","Female"
2015,"WA","Washington","Diabetes","Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2021,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","70.8","Overall","Overall"
2018,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2014,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","59.4","Gender","Female"
2014,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Gender","Male"
2017,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","34.6","Overall","Overall"
2018,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Age-adjusted Prevalence","","Gender","Female"
2021,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","7.9","Race/Ethnicity","Multiracial, non-Hispanic"
2021,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Age-adjusted Prevalence","61.7","Overall","Overall"
2021,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","43.4","Gender","Female"
2017,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","38.8","Overall","Overall"
2021,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","38.9","Gender","Male"
2019,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","73.4","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","5.4","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","52.5","Gender","Male"
2017,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","85.8","Overall","Overall"
2014,"WA","Washington","Diabetes","Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","13.6","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","91.0","Gender","Female"
2014,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","White, non-Hispanic"
2021,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Hispanic"
2018,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","49.4","Gender","Male"
2019,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","55.7","Gender","Male"
2014,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","10.5","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","59.7","Race/Ethnicity","Hispanic"
2019,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","36.2","Overall","Overall"
2015,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","70.4","Gender","Male"
2016,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","40.5","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","17.5","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Age-adjusted Prevalence","61.3","Gender","Female"
2019,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Overall","Overall"
2016,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","61.5","Gender","Female"
2016,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2019,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","72.9","Gender","Male"
2021,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","36.1","Gender","Female"
2015,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2021,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","77.8","Gender","Male"
2014,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","82.2","Race/Ethnicity","White, non-Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Crude Prevalence","12.8","Race/Ethnicity","Multiracial, non-Hispanic"
2016,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","55.1","Overall","Overall"
2021,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","44.7","Gender","Male"
2021,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","7.9","Overall","Overall"
2017,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","65.0","Gender","Male"
2017,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","55.1","Gender","Male"
2014,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2021,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2019,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","66.2","Gender","Female"
2017,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","57.9","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","69.9","Race/Ethnicity","White, non-Hispanic"
2021,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","57.5","Race/Ethnicity","White, non-Hispanic"
2019,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","50.0","Gender","Female"
2015,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","64.6","Gender","Female"
2021,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","38.1","Race/Ethnicity","Other, non-Hispanic"
2017,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","6.2","Overall","Overall"
2018,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","34.1","Race/Ethnicity","Hispanic"
2016,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","49.2","Gender","Male"
2018,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2016,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2021,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2021,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","72.3","Overall","Overall"
2017,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2021,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2014,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2018,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","85.9","Gender","Female"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","50.0","Gender","Male"
2017,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","58.5","Overall","Overall"
2015,"WA","Washington","Diabetes","Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","47.7","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","69.7","Gender","Male"
2017,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","54.3","Overall","Overall"
2014,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Overall","Overall"
2015,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2016,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2017,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","54.5","Overall","Overall"
2018,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2017,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","65.0","Gender","Male"
2016,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","83.8","Gender","Female"
2017,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2016,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2021,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","22.2","Gender","Male"
2014,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2016,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","11.3","Race/Ethnicity","Black, non-Hispanic"
2021,"WA","Washington","Diabetes","Dilated eye examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Gender","Male"
2021,"WA","Washington","Diabetes","Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Hispanic"
2017,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","80.5","Gender","Male"
2016,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","30.2","Gender","Male"
2015,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","47.4","Gender","Female"
2016,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Race/Ethnicity","Hispanic"
2014,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","8.2","Overall","Overall"
2016,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Gender","Male"
2017,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","10.5","Race/Ethnicity","Black, non-Hispanic"
2017,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","35.2","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","54.4","Overall","Overall"
2021,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","60.5","Gender","Female"
2018,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","52.8","Race/Ethnicity","Other, non-Hispanic"
2017,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","71.1","Gender","Female"
2018,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Crude Prevalence","9.5","Gender","Female"
2021,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","86.8","Gender","Female"
2018,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","32.0","Gender","Male"
2014,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","52.9","Overall","Overall"
2016,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2014,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","38","Gender","Female"
2018,"WA","Washington","Diabetes","Diabetes prevalence among women aged 18-44 years","Crude Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2015,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Crude Prevalence","8.4","Overall","Overall"
2019,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","25.4","Race/Ethnicity","Hispanic"
2015,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","51.1","Race/Ethnicity","White, non-Hispanic"
2017,"WA","Washington","Diabetes","Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2018,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Crude Prevalence","47.5","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Overall","Overall"
2021,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Crude Prevalence","8.3","Race/Ethnicity","Other, non-Hispanic"
2019,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Black, non-Hispanic"
2015,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Age-adjusted Prevalence","61.1","Gender","Male"
2019,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","80.8","Gender","Male"
2014,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","","Race/Ethnicity","Other, non-Hispanic"
2015,"WA","Washington","Diabetes","Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","74.4","Race/Ethnicity","White, non-Hispanic"
2016,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","45.0","Gender","Female"
2021,"WA","Washington","Diabetes","Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","Multiracial, non-Hispanic"
2019,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","","Gender","Male"
2016,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Age-adjusted Prevalence","8.6","Overall","Overall"
2016,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Crude Prevalence","61.5","Overall","Overall"
2018,"WA","Washington","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Crude Prevalence","6.7","Race/Ethnicity","Multiracial, non-Hispanic"
2017,"WA","Washington","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Age-adjusted Prevalence","68.0","Overall","Overall"
2021,"WA","Washington","Diabetes","Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes","Crude Prevalence","","Race/Ethnicity","White, non-Hispanic"
2021,"WA","Washington","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Age-adjusted Prevalence","","Gender","Male"
2017,"WA","Washington","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","Crude Prevalence","69.5","Race/Ethnicity","Other, non-Hispanic"
2021,"WA","Washington","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Age-adjusted Prevalence","45.0","Gender","Male"
